"cidade","bairro","titulo","categoria","data","dia_semana"
"salvador","Dois de Julho","Sa<U+00ED> do banco e  fui seguido por 3 caras que logo me assaltaram.","Saidinha Banc<U+00E1>ria",2014-09-04,"Thurs"
"salvador","Massaranduba","Assaltada por motoqueiro","Assalto <U+00E0> m<U+00E3>o armada",2014-09-02,"Tues"
"salvador","Rio Vermelho","Fui assaltado ao sair do banco do Bra","Assalto <U+00E0> m<U+00E3>o armada",2014-09-02,"Tues"
"salvador","Uruguai","Levaram minha moto pop 100 preta","Roubo de Ve<U+00ED>culo",2014-09-02,"Tues"
"salvador","Tancredo Neves","Fui assaltada Voltando da FACULDADE","Assalto <U+00E0> m<U+00E3>o armada",2014-09-01,"Mon"
"salvador","BA","Fui assaltada na areia da praia ","Assalto <U+00E0> m<U+00E3>o armada",2014-09-01,"Mon"
"salvador",NA,"Esquema de asalto. ","Assalto <U+00E0> m<U+00E3>o armada",2014-09-01,"Mon"
"salvador","Trobogy","assaltada voltando pra casa","Assalto <U+00E0> m<U+00E3>o armada",2014-08-31,"Sun"
"salvador","S<U+00E3>o Marcos","fui assaltado em frente a unijorge","Assalto <U+00E0> m<U+00E3>o armada",2014-08-30,"Sat"
"salvador","Horto Florestal","Tentativa de Assalto por dois rapazes de bicicleta.","Assalto <U+00E0> m<U+00E3>o armada",2014-08-30,"Sat"
"salvador","Amaralina","Fomos assaltado no <U+00F4>nibus Itinga","Assalto <U+00E0> m<U+00E3>o armada",2014-08-30,"Sat"
"salvador","Alto das Pombas","Assaltada novamente no micro <U+00F4>nibus seletivo","Assalto Coletivo",2014-08-30,"Sat"
"salvador","Piat<U+00E3>","Durante banho na praia","Assalto <U+00E0> m<U+00E3>o armada",2014-08-30,"Sat"
"salvador","Pituba","Assalto no ponto","Furto",2014-08-29,"Fri"
"salvador","Caminho das <U+00C1>rvores","Fui furtada dentro do <U+00F4>nibus","Furto",2014-08-28,"Thurs"
"salvador","Pituba","Robaram meu carro na rua do Col<U+00E9>gio Oficina, indo pegar meu filho.","Roubo de Ve<U+00ED>culo",2014-08-28,"Thurs"
"salvador","Federacao","envadiram minha casa","Arrombamento Domiciliar",2014-08-28,"Thurs"
"salvador","Ondina","Indo para o Trabalho","Assalto <U+00E0> m<U+00E3>o armada",2014-08-28,"Thurs"
"salvador","Caminho das <U+00C1>rvores","Fui assaltada no Loteamento Aqu<U+00E1>rios ao estacionar na rua. ","Assalto <U+00E0> m<U+00E3>o armada",2014-08-28,"Thurs"
"salvador","Cabula VI","Fui assaltado em frente ao colegio heitor villa lobos","Assalto <U+00E0> m<U+00E3>o armada",2014-08-27,"Wed"
"salvador","BA","Fui assaltado voltando pra o trabalho apos o almo<U+00E7>o ","Assalto <U+00E0> m<U+00E3>o armada",2014-08-27,"Wed"
"salvador","Ondina","Fui assaltado saindo da faculdade","Assalto <U+00E0> m<U+00E3>o armada",2014-08-26,"Tues"
"salvador","Marechal Rondon","Assalto a m<U+00E3>o armada quando estava chegando no condom<U+00ED>nio onde moro.","Assalto <U+00E0> m<U+00E3>o armada",2014-08-25,"Mon"
"salvador","Patamares","Arrombaram meu carro em Pitua<U+00E7>u","Arrombamento Veicular",2014-08-24,"Sun"
"salvador","Fazenda Grande do Retiro","fui assaltado dentro do meu veiculo ","Assalto <U+00E0> m<U+00E3>o armada",2014-08-23,"Sat"
"salvador","Dois de Julho","Fui assaltada em plena luz do dia","Assalto <U+00E0> m<U+00E3>o armada",2014-08-22,"Fri"
"salvador","BA","Tentativa de assalto em <U+00F4>nibus","Furto",2014-08-22,"Fri"
"salvador","Pepiperi","Fui assaltado enquanto andava at<U+00E9> o ponto de <U+00F4>nibus","Assalto <U+00E0> m<U+00E3>o armada",2014-08-22,"Fri"
"salvador","Pituba","ASSALTO EM MICROONIBUS","Assalto Coletivo",2014-08-22,"Fri"
"salvador","Amaralina","Assalto no <U+00D4>nibus","Assalto <U+00E0> m<U+00E3>o armada",2014-08-22,"Fri"
"salvador","Amaralina","voltando do curso.","Assalto <U+00E0> m<U+00E3>o armada",2014-08-22,"Fri"
"salvador","Pernambu<U+00E9>s","Fui assaltanda voltando do trabalho","Assalto <U+00E0> m<U+00E3>o armada",2014-08-21,"Thurs"
"salvador","Campinas de Brotas","fui assaltado chegando na acedemia","Assalto <U+00E0> m<U+00E3>o armada",2014-08-21,"Thurs"
"salvador","Universidade Federal da Bahia","Fui furtada, em frente a UFBA","Furto",2014-08-21,"Thurs"
"salvador","Pernambu<U+00E9>s","Fui assaltado no ponto de <U+00F4>nibus dentro do Terminal da Rodovi<U+00E1>ria","Assalto <U+00E0> m<U+00E3>o armada",2014-08-21,"Thurs"
"salvador","Rio Vermelho","Indo para a faculdade","Assalto <U+00E0> m<U+00E3>o armada",2014-08-20,"Wed"
"salvador","Dois de Julho","Fui assaltada esperando o onibus","Assalto <U+00E0> m<U+00E3>o armada",2014-08-19,"Tues"
"salvador","BA","Fui assaltando quando voltava para pegar o carro","Roubo de Ve<U+00ED>culo",2014-08-19,"Tues"
"salvador","Rio Vermelho","Assaltado voltando da faculdade","Assalto Coletivo",2014-08-19,"Tues"
"salvador","BA","Fui assultado depois boteco","Assalto Coletivo",2014-08-18,"Mon"
"salvador","Nazar<U+00E9>","Fui assaltada. Fila do LB1 ( Chame-Chame)","Assalto <U+00E0> m<U+00E3>o armada",2014-08-18,"Mon"
"salvador","BA","Fui assaltado saindo de casa para trabalhar ","Roubo de Ve<U+00ED>culo",2014-08-18,"Mon"
"salvador","Rio Vermelho","fui assaltada dentro do buzu indo trabalhar ","Assalto Coletivo",2014-08-18,"Mon"
"salvador",NA,"Fui assaltado em frente a UNIFACS","Furto",2014-08-16,"Sat"
"salvador","Trobogy","Roubo de celular no ponto de <U+00F4>nibus","Assalto <U+00E0> m<U+00E3>o armada",2014-08-16,"Sat"
"salvador","Itapu<U+00E3>","indo para o cinema ","Assalto <U+00E0> m<U+00E3>o armada",2014-08-16,"Sat"
"salvador",NA,"FUI ASSALTADO SAINDO DA UNIFACS","Furto",2014-08-16,"Sat"
"salvador",NA,"Fui assaltada quando estacionei para ir ao Caranguejo do Joj<U+00F4> ","Roubo de Ve<U+00ED>culo",2014-08-15,"Fri"
"salvador","BA","Fui assaltado voltando do trabalho ","Assalto <U+00E0> m<U+00E3>o armada",2014-08-15,"Fri"
"salvador","Nazar<U+00E9>","Fui assaltado por moleques","Assalto Coletivo",2014-08-15,"Fri"
"salvador","Trobogy","fui roubado na saida da faculdade","Assalto <U+00E0> m<U+00E3>o armada",2014-08-15,"Fri"
"salvador","Patamares","Fui assaltado voltando do trabalho","Assalto <U+00E0> m<U+00E3>o armada",2014-08-14,"Thurs"
"salvador",NA,"Fui assaltada indo para o trabalho","Assalto <U+00E0> m<U+00E3>o armada",2014-08-14,"Thurs"
"salvador","Federacao","Fui assaltada indo para o trabalho","Assalto Coletivo",2014-08-14,"Thurs"
"salvador",NA,"Assalto no BUSU","Assalto Coletivo",2014-08-14,"Thurs"
